15/05/2020 13:54:16;DEPOT;200;200
15/05/2020 13:58:16;DEPOT;100;300
15/05/2020 18:38:56;DEPOT;30;330
15/05/2020 18:42:46;DEPOT;400;730
15/05/2020 18:55:40;RETRAIT;50;680
15/05/2020 19:02:23;RETRAIT;250;430
15/05/2020 23:55:36;DEPOT;300;730
15/05/2020 23:56:37;DEPOT;300;1030
15/05/2020 23:58:33;RETRAIT;500;530
15/05/2020 23:59:21;RETRAIT;500;30
16/05/2020 14:36:11;RETRAIT;30;0
17/05/2020 23:42:30;DEPOT;10;10
17/05/2020 23:43:10;DEPOT;20;30
17/05/2020 23:45:14;RETRAIT;20;10
18/05/2020 02:33:49;RETRAIT;10;0
18/05/2020 02:45:04;DEPOT;25,5;25,5
18/05/2020 02:45:18;DEPOT;250,55;276,05
19/05/2020 16:50:40;DEPOT;250;526,05
